,coefficient,words,model
0,0.0,10,Heuristic
1,0.0,on,Heuristic
2,0.0,one,Heuristic
3,0.0,ones,Heuristic
4,0.0,online,Heuristic
5,0.0,only,Heuristic
6,0.0,op,Heuristic
7,0.0,open,Heuristic
8,0.0,opinion,Heuristic
9,0.0,option,Heuristic
10,0.0,options,Heuristic
11,0.0,or,Heuristic
12,0.0,order,Heuristic
13,0.0,original,Heuristic
14,0.0,other,Heuristic
15,0.0,others,Heuristic
16,0.0,otherwise,Heuristic
17,0.0,our,Heuristic
18,0.0,out,Heuristic
19,0.0,outside,Heuristic
20,0.0,over,Heuristic
21,0.0,own,Heuristic
22,0.0,paid,Heuristic
23,0.0,pain,Heuristic
24,0.0,parent,Heuristic
25,0.0,parents,Heuristic
26,0.0,part,Heuristic
27,0.0,once,Heuristic
28,0.0,older,Heuristic
29,0.0,partners,Heuristic
30,0.0,old,Heuristic
31,0.0,new,Heuristic
32,0.0,news,Heuristic
33,0.0,next,Heuristic
34,0.0,nice,Heuristic
35,0.0,night,Heuristic
36,0.0,no,Heuristic
37,0.0,nobody,Heuristic
38,0.0,non,Heuristic
39,0.0,none,Heuristic
40,0.0,normal,Heuristic
41,0.0,not,Heuristic
42,0.0,nothing,Heuristic
43,0.0,notice,Heuristic
44,0.0,now,Heuristic
45,0.0,nta,Heuristic
46,0.0,number,Heuristic
47,0.0,obviously,Heuristic
48,0.0,of,Heuristic
49,0.0,off,Heuristic
50,0.0,offer,Heuristic
51,0.0,office,Heuristic
52,0.0,often,Heuristic
53,0.0,oh,Heuristic
54,0.0,ok,Heuristic
55,0.0,okay,Heuristic
56,0.0,partner,Heuristic
57,0.0,party,Heuristic
58,0.0,needs,Heuristic
59,0.0,position,Heuristic
60,0.0,possible,Heuristic
61,0.0,post,Heuristic
62,0.0,posts,Heuristic
63,0.0,power,Heuristic
64,0.0,prefer,Heuristic
65,0.0,pregnant,Heuristic
66,0.0,pretty,Heuristic
67,0.0,price,Heuristic
68,0.0,probably,Heuristic
69,0.0,problem,Heuristic
70,0.0,problems,Heuristic
71,0.0,process,Heuristic
72,0.0,public,Heuristic
73,0.0,put,Heuristic
74,0.0,putting,Heuristic
75,0.0,quality,Heuristic
76,0.0,que,Heuristic
77,0.0,question,Heuristic
78,0.0,questions,Heuristic
79,0.0,quickly,Heuristic
80,0.0,quite,Heuristic
81,0.0,random,Heuristic
82,0.0,rather,Heuristic
83,0.0,read,Heuristic
84,0.0,reading,Heuristic
85,0.0,positive,Heuristic
86,0.0,poor,Heuristic
87,0.0,pass,Heuristic
88,0.0,police,Heuristic
89,0.0,past,Heuristic
90,0.0,pay,Heuristic
91,0.0,paying,Heuristic
92,0.0,people,Heuristic
93,0.0,per,Heuristic
94,0.0,perfect,Heuristic
95,0.0,period,Heuristic
96,0.0,person,Heuristic
97,0.0,personal,Heuristic
98,0.0,personally,Heuristic
99,0.0,phone,Heuristic
0,0.03857964816125761,knows,DecisionTreeRegressor
1,0.038499272692746354,truly,DecisionTreeRegressor
2,0.028076880871993927,high,DecisionTreeRegressor
3,0.017096354890190936,comes,DecisionTreeRegressor
4,0.014715656986334575,view,DecisionTreeRegressor
5,0.012901763713813462,human,DecisionTreeRegressor
6,0.010555642044145972,general,DecisionTreeRegressor
7,0.010137259060221438,not,DecisionTreeRegressor
8,0.007196239506357979,amazing,DecisionTreeRegressor
9,0.007190690372317633,away,DecisionTreeRegressor
10,0.0067252147578316535,girl,DecisionTreeRegressor
11,0.006541010577981511,stop,DecisionTreeRegressor
12,0.006209007959863449,huge,DecisionTreeRegressor
13,0.006046182811150794,happened,DecisionTreeRegressor
14,0.005632332366980585,public,DecisionTreeRegressor
15,0.0053253577147628385,happen,DecisionTreeRegressor
16,0.0049696351285957565,lot,DecisionTreeRegressor
17,0.004702842005738729,here,DecisionTreeRegressor
18,0.004570240780739636,ill,DecisionTreeRegressor
19,0.004519288933687032,move,DecisionTreeRegressor
20,0.0043996914411949355,currently,DecisionTreeRegressor
21,0.004313589661129097,explain,DecisionTreeRegressor
22,0.004226081663257833,lack,DecisionTreeRegressor
23,0.00421605795053004,miss,DecisionTreeRegressor
24,0.004063890785579608,to,DecisionTreeRegressor
25,0.003994289590871604,man,DecisionTreeRegressor
26,0.0039024974788366648,hours,DecisionTreeRegressor
27,0.0038718308427526747,poor,DecisionTreeRegressor
28,0.0038685338363110156,focus,DecisionTreeRegressor
29,0.00378083042207641,own,DecisionTreeRegressor
30,0.0037303918519844864,lets,DecisionTreeRegressor
31,0.0037095069621241763,based,DecisionTreeRegressor
32,0.0036792332027295446,non,DecisionTreeRegressor
33,0.003602939177866923,given,DecisionTreeRegressor
34,0.0034940347879292752,true,DecisionTreeRegressor
35,0.0034234482461283303,text,DecisionTreeRegressor
36,0.0034087902197493234,meant,DecisionTreeRegressor
37,0.0034087416917866122,gave,DecisionTreeRegressor
38,0.00333045329591034,eye,DecisionTreeRegressor
39,0.0033160940323237963,generally,DecisionTreeRegressor
40,0.0033112937151102127,along,DecisionTreeRegressor
41,0.003281979232931452,either,DecisionTreeRegressor
42,0.003264184743411792,first,DecisionTreeRegressor
43,0.003252041175200364,calling,DecisionTreeRegressor
44,0.003250450018737988,recently,DecisionTreeRegressor
45,0.0032167851156262124,actual,DecisionTreeRegressor
46,0.0031928047841065176,totally,DecisionTreeRegressor
47,0.0031008380414288177,next,DecisionTreeRegressor
48,0.0030724614808631174,living,DecisionTreeRegressor
49,0.0030316278763776136,very,DecisionTreeRegressor
50,0.002949841074633628,law,DecisionTreeRegressor
51,0.0029090117864723776,la,DecisionTreeRegressor
52,0.002858153209383142,company,DecisionTreeRegressor
53,0.002836485777187599,wait,DecisionTreeRegressor
54,0.002757307651257116,bought,DecisionTreeRegressor
55,0.0027055015243679943,sleep,DecisionTreeRegressor
56,0.002648562941014864,ago,DecisionTreeRegressor
57,0.002565115626582189,also,DecisionTreeRegressor
58,0.002559662131401577,still,DecisionTreeRegressor
59,0.0025560359103060934,decent,DecisionTreeRegressor
60,0.002528750258801717,future,DecisionTreeRegressor
61,0.0025220389297301842,back,DecisionTreeRegressor
62,0.00251773878630151,feel,DecisionTreeRegressor
63,0.002496684023286569,relationships,DecisionTreeRegressor
64,0.002468482376620417,needed,DecisionTreeRegressor
65,0.002463694858027825,least,DecisionTreeRegressor
66,0.0024394919377564526,mostly,DecisionTreeRegressor
67,0.002400808812624578,multiple,DecisionTreeRegressor
68,0.0023887369449451874,sent,DecisionTreeRegressor
69,0.002381298275142424,respect,DecisionTreeRegressor
70,0.0023643010250987534,deal,DecisionTreeRegressor
71,0.0023542804308017812,family,DecisionTreeRegressor
72,0.0023504586459078517,problem,DecisionTreeRegressor
73,0.0023335554860366863,sense,DecisionTreeRegressor
74,0.0023270462723412426,thinking,DecisionTreeRegressor
75,0.0023250428207033714,knew,DecisionTreeRegressor
76,0.002309605773599415,see,DecisionTreeRegressor
77,0.00226917170245169,stay,DecisionTreeRegressor
78,0.0022635826178361803,fucked,DecisionTreeRegressor
79,0.0022529191491724946,list,DecisionTreeRegressor
80,0.0022372460447754304,bc,DecisionTreeRegressor
81,0.0022330040989827766,problems,DecisionTreeRegressor
82,0.002226520683397194,understanding,DecisionTreeRegressor
83,0.0022187025364430076,pretty,DecisionTreeRegressor
84,0.002194576364184151,like,DecisionTreeRegressor
85,0.002159841384117271,daughter,DecisionTreeRegressor
86,0.002159490902319786,talking,DecisionTreeRegressor
87,0.0021586635037277105,build,DecisionTreeRegressor
88,0.002147275963973416,sure,DecisionTreeRegressor
89,0.002142942526915149,saw,DecisionTreeRegressor
90,0.00212855960716841,son,DecisionTreeRegressor
91,0.0021262405722177855,help,DecisionTreeRegressor
92,0.002119128559800721,regular,DecisionTreeRegressor
93,0.0021049714180402667,imo,DecisionTreeRegressor
94,0.0020948293713966303,dead,DecisionTreeRegressor
95,0.0020931934627249384,attractive,DecisionTreeRegressor
96,0.002078602155120193,medical,DecisionTreeRegressor
97,0.0020701542093932326,comment,DecisionTreeRegressor
98,0.002059008522108549,speak,DecisionTreeRegressor
99,0.0020461903401092617,que,DecisionTreeRegressor
0,0.039620536579548324,truly,RandomForestRegressor
1,0.035123512127110706,knows,RandomForestRegressor
2,0.03104833584798927,high,RandomForestRegressor
3,0.014911955867278283,human,RandomForestRegressor
4,0.014711506814879082,view,RandomForestRegressor
5,0.013635377526453163,comes,RandomForestRegressor
6,0.010542225623909825,general,RandomForestRegressor
7,0.010476586299180832,not,RandomForestRegressor
8,0.007812211574975869,away,RandomForestRegressor
9,0.007341578643433214,stop,RandomForestRegressor
10,0.006083910535745041,girl,RandomForestRegressor
11,0.005879799503538577,currently,RandomForestRegressor
12,0.005848321366638074,either,RandomForestRegressor
13,0.0047201387513602245,amazing,RandomForestRegressor
